material_id,formula,space_group,crystal_system,formation_energy_per_atom,band_gap,density,nsites,is_stable,energy_above_hull
mp-776229,Ti2N2O,P1,Triclinic,-1.988241380833334,1.0034,4.338423660548882,40,False,0.2018428772500016
mp-776235,Zr2N2O,Pnma,Orthorhombic,-2.1034296699999997,0.07620000000000005,6.239698323164703,20,False,0.2161318655000013
mp-776239,Zr2N2O,C2/c,Monoclinic,-2.094724848333335,1.5627999999999997,5.700420464710095,30,False,0.2248366871666665
mp-776245,Zr2N2O,P1,Triclinic,-2.1339228816666673,1.0257000000000005,6.015141226034808,30,False,0.185638653833335
mp-776246,Zr2N2O,P1,Triclinic,-2.1886721814999985,1.5631000000000004,5.751760939171278,40,False,0.13088935400000246
mp-776250,Zr2N2O,P-1,Triclinic,-2.1003850990000004,0.8561000000000001,5.740629291162943,10,False,0.21917643650000151
mp-776259,Hf2N2O,P1,Triclinic,-2.3831671075000003,2.0534,10.603719348780903,40,False,0.13123810149999926
mp-776260,Zr2N2O,P1,Triclinic,-2.1884903720000013,1.6503999999999999,5.753908867666377,40,False,0.13107116350000148
mp-776271,Zr2N2O,C2/c,Monoclinic,-2.1105394743333337,1.7631000000000006,5.6726942114938765,30,False,0.2090220611666691
mp-776273,Zr2N2O,C2/m,Monoclinic,-2.126966136333335,1.6695000000000002,5.998641930956072,30,False,0.19259539916666668
mp-776278,Ti2N2O,P1,Triclinic,-1.9839410755833342,0.9256000000000002,4.3371637458071355,40,False,0.20614318249999997
mp-776280,Ti2N2O,P1,Triclinic,-1.9889637855833342,0.9356,4.336491620800719,40,False,0.2011204725000013
mp-776281,Zr2N2O,P1,Triclinic,-2.1872077207500014,1.5861,5.754807746757466,40,False,0.13235381475000096
mp-776313,Ti2N2O,P1,Triclinic,-1.9845588840833344,0.9964000000000004,4.330407753630005,40,False,0.20552537400000048
mp-776314,Zr2N2O,P1,Triclinic,-2.1876961817500002,1.6107,5.7534410109839245,40,False,0.1318653537500012
mp-776315,Zr2N2O,P1,Triclinic,-2.1899928880000017,1.6814999999999998,5.754332814844186,40,False,0.1295686474999993
mp-776334,Ti2N2O,P1,Triclinic,-1.982224498583335,0.9614000000000003,4.3373766343373745,40,False,0.2078597594999998
mp-776335,Zr2N2O,P1,Triclinic,-2.1892359830000006,2.1220999999999997,5.757118373093753,40,False,0.13032555250000222
mp-776336,Ti2N2O,P1,Triclinic,-1.9841428643333345,0.9129999999999994,4.340027810817213,40,False,0.20594139375000076
mp-776337,Zr2N2O,P1,Triclinic,-2.1875462520000015,2.0527999999999995,5.754584786219988,40,False,0.13201528350000125
mp-776360,Zr2N2O,P1,Triclinic,-2.189271769250001,2.1159,5.753882178160162,40,False,0.13028976624999977
